Wall time,Step,Value
1706885571.633013,35036,-7179.85400390625
1706886199.5338762,70072,-7080.8017578125
1706887022.8561926,105108,-7084.505859375
1706887653.143856,140144,-7104.498046875
1706888473.0492532,175180,-7134.7509765625
1706889108.5287077,210216,-7177.3046875
1706889729.2800088,245252,-7205.658203125
1706890541.1506088,280288,-7218.58251953125
1706891166.7353184,315324,-7225.6044921875
1706891986.6535108,350360,-7231.07666015625
1706892612.971888,385396,-7234.26416015625
1706893238.7302272,420432,-7231.021484375
1706894058.063988,455468,-7227.416015625
1706894683.4409795,490504,-7221.5390625
1706895502.9226487,525540,-7214.65869140625
1706896128.939502,560576,-7208.115234375
1706896759.9122393,595612,-7201.82861328125
1706897581.806623,630648,-7196.15380859375
1706898210.5900953,665684,-7188.923828125
1706899031.3894024,700720,-7181.90771484375
1706899660.6388178,735756,-7175.587890625
1706900287.952469,770792,-7170.17822265625
1706901110.486257,805828,-7164.53125
1706901738.3639271,840864,-7158.4970703125
1706902560.2125733,875900,-7150.921875
1706903188.7519195,910936,-7141.54541015625
1706903817.470573,945972,-7139.52734375
1706904638.2797134,981008,-7133.181640625
1706905267.3471458,1016044,-7123.45458984375
1706906088.8690448,1051080,-7109.80615234375
1706906715.5764315,1086116,-7090.4716796875
1706907342.8195908,1121152,-7070.91259765625
1706908166.4386237,1156188,-7055.13623046875
1706908796.7751286,1191224,-7039.9169921875
1706909618.6302674,1226260,-7024.51123046875
1706910248.2138426,1261296,-7009.40087890625
1706910876.542805,1296332,-6996.67333984375
1706911698.9250438,1331368,-6984.6357421875
1706912328.8644967,1366404,-6973.94921875
1706913152.0434914,1401440,-6964.34228515625
1706913778.0663629,1436476,-6953.6513671875
1706914389.90974,1471512,-6940.54443359375
1706915191.365043,1506548,-6926.12646484375
1706915803.4646213,1541584,-6913.01611328125
1706916605.3470688,1576620,-6899.78857421875
1706917216.6390932,1611656,-6886.298828125
1706917828.2943068,1646692,-6872.35400390625
1706918629.412134,1681728,-6858.494140625
1706919241.5935853,1716764,-6844.615234375
1706920042.8103838,1751800,-6832.70068359375
1706920654.0038188,1786836,-6821.20703125
1706921265.7966654,1821872,-6810.34033203125
1706922067.6632442,1856908,-6798.990234375
1706922680.196431,1891944,-6787.76708984375
1706923479.1830313,1926980,-6776.560546875
1706924087.9111779,1962016,-6765.328125
1706924696.8347363,1997052,-6754.77001953125
1706925495.8519888,2032088,-6742.95654296875
1706926104.8937507,2067124,-6731.61962890625
1706926902.8760028,2102160,-6720.50830078125
1706927512.0955918,2137196,-6709.5205078125
1706928121.5372791,2172232,-6698.48095703125
1706928919.881752,2207268,-6687.48876953125
1706929529.3685374,2242304,-6676.52490234375
1706930327.9006987,2277340,-6665.328125
1706930936.7540417,2312376,-6655.28076171875
1706931546.437669,2347412,-6648.07373046875
1706932351.3000445,2382448,-6641.849609375
1706932964.3574483,2417484,-6636.69970703125
1706933766.7977283,2452520,-6631.33056640625
1706934379.422713,2487556,-6626.337890625
1706934992.1545875,2522592,-6621.32177734375
1706935795.7808983,2557628,-6616.39111328125
1706936407.9645095,2592664,-6612.59619140625
1706937209.039825,2627700,-6608.43408203125
1706937816.8626354,2662736,-6604.9833984375
1706938424.3511143,2697772,-6601.0244140625
1706939221.0220869,2732808,-6597.26025390625
1706939828.4073153,2767844,-6593.5107421875
1706940625.98538,2802880,-6590.09228515625
1706941233.671947,2837916,-6586.65869140625
1706941841.6615038,2872952,-6583.5361328125
1706942638.3575044,2907988,-6580.115234375
1706943246.0199866,2943024,-6576.39697265625
1706944043.4574833,2978060,-6572.7626953125
1706944651.4833796,3013096,-6568.9453125
1706945259.8810112,3048132,-6565.7861328125
1706946057.2683613,3083168,-6562.0400390625
1706946665.743165,3118204,-6558.3203125
1706947463.0759137,3153240,-6554.96435546875
1706948073.118149,3188276,-6551.462890625
1706948680.9234123,3223312,-6547.5166015625
1706949479.117982,3258348,-6544.08935546875
1706950087.550134,3293384,-6539.85986328125
1706950884.4036665,3328420,-6536.0625
1706951491.7934654,3363456,-6532.50732421875
1706952099.7684476,3398492,-6528.787109375
1706952896.5501301,3433528,-6525.173828125
1706953504.7650712,3468564,-6521.3720703125
1706954302.2365708,3503600,-6517.98486328125
1706954910.0137384,3538636,-6514.0341796875
1706955517.7572274,3573672,-6510.701171875
1706956315.207648,3608708,-6507.4560546875
1706956923.3446896,3643744,-6504.7275390625
1706957721.0841756,3678780,-6501.44140625
1706958333.0740318,3713816,-6498.85302734375
1706958943.2302208,3748852,-6495.31884765625
1706959743.1282294,3783888,-6493.01708984375
1706960353.9479058,3818924,-6490.7490234375
1706961155.109759,3853960,-6487.95947265625
1706961768.1158075,3888996,-6485.9990234375
1706962378.8400435,3924032,-6483.58203125
1706963179.325093,3959068,-6481.6318359375
1706963790.2751715,3994104,-6479.8017578125
1706964590.6046448,4029140,-6477.458984375
1706965204.076934,4064176,-6475.68603515625
1706965821.8325274,4099212,-6474.65380859375
1706966648.8293302,4134248,-6473.43701171875
1706967265.3501399,4169284,-6472.02099609375
1706968069.0697916,4204320,-6471.1005859375
1706968679.2322643,4239356,-6469.69580078125
1706969302.5040896,4274392,-6468.44677734375
1706970127.405789,4309428,-6467.71337890625
1706970768.3317273,4344464,-6466.95703125
1706971614.2196853,4379500,-6465.83251953125
